Avg WT,Max WT,Avg TAT,Max TAT
"269,32",526,"264,08",516
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p6,0,10,0,0,10
p25,0,8,10,10,18
p59,0,6,18,18,24
p64,0,6,24,24,30
p73,0,7,30,30,37
p0,1,9,36,37,46
p16,1,0,45,46,46
p32,1,0,45,46,46
p36,1,10,45,46,56
p57,1,1,55,56,57
p91,1,6,56,57,63
p92,1,8,62,63,71
p97,1,8,70,71,79
p5,2,4,77,79,83
p8,2,9,81,83,92
p28,2,9,90,92,101
p34,2,6,99,101,107
p41,2,0,105,107,107
p58,2,5,105,107,112
p60,2,3,110,112,115
p72,2,9,113,115,124
p77,2,8,122,124,132
p80,2,8,130,132,140
p18,3,10,137,140,150
p39,3,1,147,150,151
p50,3,9,148,151,160
p68,3,3,157,160,163
p69,3,7,160,163,170
p79,3,1,167,170,171
p81,3,2,168,171,173
p93,3,3,170,173,176
p1,4,1,172,176,177
p4,4,9,173,177,186
p12,4,10,182,186,196
p20,4,3,192,196,199
p22,4,3,195,199,202
p31,4,10,198,202,212
p45,4,8,208,212,220
p61,4,8,216,220,228
p66,4,6,224,228,234
p85,4,6,230,234,240
p95,4,1,236,240,241
p10,5,5,236,241,246
p11,5,3,241,246,249
p19,5,9,244,249,258
p33,5,4,253,258,262
p35,5,7,257,262,269
p51,5,0,264,269,269
p63,5,5,264,269,274
p67,5,6,269,274,280
p70,5,5,275,280,285
p74,5,3,280,285,288
p75,5,8,283,288,296
p78,5,1,291,296,297
p84,5,8,292,297,305
p86,5,0,300,305,305
p87,5,8,300,305,313
p14,6,3,307,313,316
p15,6,5,310,316,321
p37,6,5,315,321,326
p42,6,7,320,326,333
p48,6,4,327,333,337
p54,6,2,331,337,339
p82,6,0,333,339,339
p21,7,10,332,339,349
p27,7,4,342,349,353
p38,7,10,346,353,363
p40,7,3,356,363,366
p46,7,0,359,366,366
p53,7,5,359,366,371
p55,7,3,364,371,374
p71,7,0,367,374,374
p98,7,6,367,374,380
p13,8,2,372,380,382
p23,8,6,374,382,388
p47,8,9,380,388,397
p56,8,8,389,397,405
p83,8,5,397,405,410
p89,8,9,402,410,419
p99,8,7,411,419,426
p3,9,0,417,426,426
p9,9,4,417,426,430
p17,9,6,421,430,436
p24,9,9,427,436,445
p30,9,0,436,445,445
p49,9,1,436,445,446
p88,9,2,437,446,448
p90,9,4,439,448,452
p2,10,7,442,452,459
p7,10,7,449,459,466
p26,10,9,456,466,475
p29,10,3,465,475,478
p43,10,8,468,478,486
p44,10,6,476,486,492
p52,10,9,482,492,501
p62,10,9,491,501,510
p65,10,7,500,510,517
p76,10,2,507,517,519
p94,10,7,509,519,526
p96,10,10,516,526,536
